Hitter,Swing,Pitcher,Pitch,Result,Diff,Inning,Outs,Home Score,Away Score,OBC,Batter WPA,Pitcher WPA,RBI,Run,Result at neutral park,Game ID,Inning ID,Session,Batter Team,Pitcher Team,Season,bruh
Lane Drew,721,Junks Tandem,42,K,,,0,,,0,,,,,,1001,10001,,,,1,
Ziggy Ceder,562,Junks Tandem,772,FO,,,1,,,0,,,,,,1001,10001,,,,1,
Quentin Adams,568,Junks Tandem,7,LGO,,,2,,,0,,,,,,1001,10001,,,,1,
Phil Coulson,414,S.A.R. Dinka,138,K,,,0,,,0,,,,,,1001,10002,,,,1,
Forrest Gleeson,45,S.A.R. Dinka,602,LGO,,,1,,,0,,,,,,1001,10002,,,,1,
Y.E. Wally,619,S.A.R. Dinka,172,LGO,,,2,,,0,,,,,,1001,10002,,,,1,
Graham Grams,366,Junks Tandem,17,K,,,0,,,0,,,,,,1001,10003,,,,1,
Luis Flemus,242,Junks Tandem,819,LGO,,,1,,,0,,,,,,1001,10003,,,,1,
Thomas Berry,525,Junks Tandem,2,LGO,,,2,,,0,,,,,,1001,10003,,,,1,
Charles Lindberg,562,S.A.R. Dinka,802,FO,,,0,,,0,,,,,,1001,10004,,,,1,
Gil Metz,108,S.A.R. Dinka,603,LGO,,,1,,,0,,,,,,1001,10004,,,,1,
H.B. Boink,105,S.A.R. Dinka,780,K,,,2,,,0,,,,,,1001,10004,,,,1,
Mike Honcho,408,Junks Tandem,108,K,,,0,,,0,,,,,,1001,10005,,,,1,
Daz Reference,572,Junks Tandem,300,FO,,,1,,,0,,,,,,1001,10005,,,,1,
S.A.R. Dinka,200,Junks Tandem,902,K,,,2,,,0,,,,,,1001,10005,,,,1,
Junks Tandem,22,S.A.R. Dinka,129,1B,,,0,,,0,,,,,,1001,10006,,,,1,
Sadler Oriole,770,S.A.R. Dinka,420,DP,,,0,,,1,,,,,,1001,10006,,,,1,
Jake Blee,272,S.A.R. Dinka,252,HR,,,2,,,0,,,,,,1001,10006,,,,1,
Phil Coulson,887,S.A.R. Dinka,725,BB,,,2,,,0,,,,,,1001,10006,,,,1,
Forrest Gleeson,982,S.A.R. Dinka,801,FO,,,2,,,1,,,,,,1001,10006,,,,1,
Lane Drew,71,Junks Tandem,811,FO,,,0,,,0,,,,,,1001,10007,,,,1,
Ziggy Ceder,71,Junks Tandem,66,HR,,,1,,,0,,,,,,1001,10007,,,,1,
Quentin Adams,772,Junks Tandem,1,FO,,,1,,,0,,,,,,1001,10007,,,,1,
Graham Grams,913,Junks Tandem,420,LGO,,,2,,,0,,,,,,1001,10007,,,,1,
Y.E. Wally,151,S.A.R. Dinka,474,K,,,0,,,0,,,,,,1001,10008,,,,1,
Charles Lindberg,953,S.A.R. Dinka,1,HR,,,1,,,0,,,,,,1001,10008,,,,1,
Gil Metz,815,S.A.R. Dinka,732,1B,,,1,,,0,,,,,,1001,10008,,,,1,
H.B. Boink,300,S.A.R. Dinka,347,1B,,,1,,,1,,,,,,1001,10008,,,,1,
Junks Tandem,666,S.A.R. Dinka,524,BB,,,1,,,4,,,,,,1001,10008,,,,1,
Phil Coulson,997,S.A.R. Dinka,148,BB,,,1,,,6,,,,,,1001,10008,,,,1,
Sadler Oriole,645,S.A.R. Dinka,699,1B,,,1,,,7,,,,,,1001,10008,,,,1,
Jake Blee,390,S.A.R. Dinka,330,2B,,,1,,,7,,,,,,1001,10008,,,,1,
Forrest Gleeson,41,S.A.R. Dinka,531,DP,,,1,,,7,,,,,,1001,10008,,,,1,
Luis Flemus,153,Junks Tandem,210,2B,,,0,,,0,,,,,,1001,10009,,,,1,
Thomas Berry,944,Junks Tandem,902,1B,,,0,,,2,,,,,,1001,10009,,,,1,
Mike Honcho,482,Junks Tandem,700,FO,,,0,,,5,,,,,,1001,10009,,,,1,
Daz Reference,542,Junks Tandem,300,FO,,,1,,,5,,,,,,1001,10009,,,,1,
S.A.R. Dinka,750,Junks Tandem,573,BB,,,2,,,5,,,,,,1001,10009,,,,1,
Ziggy Ceder,280,Junks Tandem,799,LGO,,,2,,,5,,,,,,1001,10009,,,,1,
Lane Drew,81,Junks Tandem,13,1B,,,2,,,7,,,,,,1001,10009,,,,1,
Y.E. Wally,888,S.A.R. Dinka,267,LGO,,,0,,,0,,,,,,1001,10010,,,,1,
Charles Lindberg,931,S.A.R. Dinka,985,2B,,,1,,,0,,,,,,1001,10010,,,,1,
Gil Metz,483,S.A.R. Dinka,573,1B,,,1,,,2,,,,,,1001,10010,,,,1,
H.B. Boink,864,S.A.R. Dinka,736,BB,,,1,,,5,,,,,,1001,10010,,,,1,
Junks Tandem,318,S.A.R. Dinka,638,PO,,,1,,,7,,,,,,1001,10010,,,,1,
Jake Blee,311,S.A.R. Dinka,793,LGO,,,2,,,5,,,,,,1001,10010,,,,1,
Sadler Oriole,275,S.A.R. Dinka,177,1B,,,2,,,7,,,,,,1001,10010,,,,1,
Quentin Adams,306,Cal Tiberius Jr.,901,LGO,,,0,,,0,,,,,,1001,10011,,,,1,
Graham Grams,278,Cal Tiberius Jr.,384,1B,,,1,,,0,,,,,,1001,10011,,,,1,
Luis Flemus,756,Cal Tiberius Jr.,181,DP,,,1,,,1,,,,,,1001,10011,,,,1,
C.W. Mitzel,79,Cy Hadd,780,FO,,,0,,,0,,,,,,1002,10012,,,,1,
Dark Bobman,275,Cy Hadd,274,HR,,,1,,,0,,,,,,1002,10012,,,,1,
Twinkie Power,408,Cy Hadd,51,K,,,1,,,0,,,,,,1002,10012,,,,1,
Hashcoin Shitstorm,245,Cy Hadd,209,2B,,,2,,,0,,,,,,1002,10012,,,,1,
"Jake ""JP"" Panik",608,Cy Hadd,810,FO,,,2,,,2,,,,,,1002,10012,,,,1,
Kyle Mack,462,Sonny Streaker,223,FO,,,0,,,0,,,,,,1002,10013,,,,1,
Ross Fire,462,Sonny Streaker,93,LGO,,,1,,,0,,,,,,1002,10013,,,,1,
Conrad Love,777,Sonny Streaker,448,K,,,2,,,0,,,,,,1002,10013,,,,1,
Miguel Snow,276,Cy Hadd,23,FO,,,0,,,0,,,,,,1002,10014,,,,1,
Chad Barrett,895,Cy Hadd,889,HR,,,1,,,0,,,,,,1002,10014,,,,1,
Jack Marnette,329,Cy Hadd,762,LGO,,,1,,,0,,,,,,1002,10014,,,,1,
Sonny Streaker,329,Cy Hadd,999,K,,,2,,,0,,,,,,1002,10014,,,,1,
Rory Nipponsteer,348,Sonny Streaker,127,FO,,,0,,,0,,,,,,1002,10015,,,,1,
Hunter Tuzero,479,Sonny Streaker,836,PO,,,1,,,0,,,,,,1002,10015,,,,1,
Martin Barnar,323,Sonny Streaker,27,K,,,2,,,0,,,,,,1002,10015,,,,1,
C.W. Mitzel,136,Cy Hadd,898,FO,,,0,,,0,,,,,,1002,10016,,,,1,
Dark Bobman,790,Cy Hadd,78,FO,,,1,,,0,,,,,,1002,10016,,,,1,
Twinkie Power,682,Cy Hadd,125,LGO,,,2,,,0,,,,,,1002,10016,,,,1,
Jay Lupp,362,Sonny Streaker,753,LGO,,,0,,,0,,,,,,1002,10017,,,,1,
Justin Virga,411,Sonny Streaker,830,LGO,,,1,,,0,,,,,,1002,10017,,,,1,
Cy Hadd,551,Sonny Streaker,530,HR,,,2,,,0,,,,,,1002,10017,,,,1,
Kyle Mack,736,Sonny Streaker,880,BB,,,2,,,0,,,,,,1002,10017,,,,1,
Ross Fire,872,Sonny Streaker,765,1B,,,2,,,1,,,,,,1002,10017,,,,1,
Conrad Love,195,Sonny Streaker,110,1B,,,2,,,5,,,,,,1002,10017,,,,1,
Rory Nipponsteer,750,Sonny Streaker,200,LGO,,,2,,,5,,,,,,1002,10017,,,,1,
Hashcoin Shitstorm,180,Cy Hadd,678,LGO,,,0,,,0,,,,,,1002,10018,,,,1,
"Jake ""JP"" Panik",304,Cy Hadd,1,K,,,1,,,0,,,,,,1002,10018,,,,1,
Miguel Snow,760,Cy Hadd,441,K,,,2,,,0,,,,,,1002,10018,,,,1,
Hunter Tuzero,79,Sonny Streaker,980,1B,,,0,,,0,,,,,,1002,10019,,,,1,
Martin Barnar,873,Sonny Streaker,197,K,,,0,,,1,,,,,,1002,10019,,,,1,
Jay Lupp,864,Sonny Streaker,1,1B,,,1,,,1,,,,,,1002,10019,,,,1,
Justin Virga,742,Sonny Streaker,780,2B,,,1,,,4,,,,,,1002,10019,,,,1,
Cy Hadd,178,Sonny Streaker,837,PO,,,1,,,6,,,,,,1002,10019,,,,1,
Kyle Mack,103,Sonny Streaker,933,FO,,,2,,,6,,,,,,1002,10019,,,,1,
Chad Barrett,37,Cy Hadd,325,K,,,0,,,0,,,,,,1002,10020,,,,1,
Jack Marnette,707,Cy Hadd,27,K,,,1,,,0,,,,,,1002,10020,,,,1,
Sonny Streaker,779,Cy Hadd,61,K,,,2,,,0,,,,,,1002,10020,,,,1,
Ross Fire,130,Sonny Streaker,887,FO,,,0,,,0,,,,,,1002,10021,,,,1,
Conrad Love,900,Sonny Streaker,110,FO,,,1,,,0,,,,,,1002,10021,,,,1,
Rory Nipponsteer,143,Sonny Streaker,27,BB,,,2,,,0,,,,,,1002,10021,,,,1,
Hunter Tuzero,101,Sonny Streaker,722,LGO,,,2,,,1,,,,,,1002,10021,,,,1,
C.W. Mitzel,969,Cy Hadd,244,FO,,,0,,,0,,,,,,1002,10022,,,,1,
Dark Bobman,210,Cy Hadd,773,LGO,,,1,,,0,,,,,,1002,10022,,,,1,
Twinkie Power,501,Cy Hadd,151,K,,,2,,,0,,,,,,1002,10022,,,,1,
Jimbo Fishy,546,Grey Goose McGillicuddy,537,HR,,,0,,,0,,,,,,1003,10023,,,,1,
Rupert Apple,67,Grey Goose McGillicuddy,613,LGO,,,0,,,0,,,,,,1003,10023,,,,1,
Triston Uzumaki,180,Grey Goose McGillicuddy,818,PO,,,1,,,0,,,,,,1003,10023,,,,1,
Buck Cheeks,133,Grey Goose McGillicuddy,400,FO,,,2,,,0,,,,,,1003,10023,,,,1,
Tsar Zaar,287,Willoughby Hoose,781,LGO,,,0,,,0,,,,,,1003,10024,,,,1,
Garren Smudge,376,Willoughby Hoose,348,2B,,,1,,,0,,,,,,1003,10024,,,,1,
Assassin Panda,272,Willoughby Hoose,164,1B,,,1,,,2,,,,,,1003,10024,,,,1,
I.M. Organic,522,Willoughby Hoose,635,BB,,,1,,,5,,,,,,1003,10024,,,,1,
Trey Rangers,888,Willoughby Hoose,14,1B,,,1,,,7,,,,,,1003,10024,,,,1,
Rico Veringhipster,540,Willoughby Hoose,322,FO,,,1,,,7,,,,,,1003,10024,,,,1,
Obi-Wan Canoli,888,Willoughby Hoose,414,LGO,,,2,,,7,,,,,,1003,10024,,,,1,
Jay Money,165,Grey Goose McGillicuddy,211,1B,,,0,,,0,,,,,,1003,10025,,,,1,
Jasper Orbit,400,Grey Goose McGillicuddy,770,K,,,0,,,1,,,,,,1003,10025,,,,1,
Lemmy Fraser,222,Grey Goose McGillicuddy,948,FO,,,1,,,1,,,,,,1003,10025,,,,1,
Jacques Blaque,457,Grey Goose McGillicuddy,120,K,,,2,,,1,,,,,,1003,10025,,,,1,
S.K. Brettbug,673,Willoughby Hoose,232,LGO,,,0,,,0,,,,,,1003,10026,,,,1,
Grey Goose McGillicuddy,344,Willoughby Hoose,10,K,,,1,,,0,,,,,,1003,10026,,,,1,
Tsar Zaar,950,Willoughby Hoose,876,1B,,,2,,,0,,,,,,1003,10026,,,,1,
Garren Smudge,42,Willoughby Hoose,255,FO,,,2,,,1,,,,,,1003,10026,,,,1,
Willoughby Hoose,665,Grey Goose McGillicuddy,13,K,,,0,,,0,,,,,,1003,10027,,,,1,
Jimbo Fishy,772,Grey Goose McGillicuddy,40,FO,,,1,,,0,,,,,,1003,10027,,,,1,
Rupert Apple,200,Grey Goose McGillicuddy,720,LGO,,,2,,,0,,,,,,1003,10027,,,,1,
Assassin Panda,321,Willoughby Hoose,125,FO,,,0,,,0,,,,,,1003,10028,,,,1,
I.M. Organic,450,Willoughby Hoose,134,K,,,1,,,0,,,,,,1003,10028,,,,1,
Trey Rangers,760,Willoughby Hoose,962,FO,,,2,,,0,,,,,,1003,10028,,,,1,
Triston Uzumaki,500,Grey Goose McGillicuddy,70,LGO,,,0,,,0,,,,,,1003,10029,,,,1,
Buck Cheeks,212,Grey Goose McGillicuddy,611,K,,,1,,,0,,,,,,1003,10029,,,,1,
Jay Money,840,Grey Goose McGillicuddy,40,FO,,,2,,,0,,,,,,1003,10029,,,,1,
Rico Veringhipster,615,Willoughby Hoose,631,3B,,,0,,,0,,,,,,1003,10030,,,,1,
S.K. Brettbug,942,Willoughby Hoose,802,1B,,,0,,,1,,,,,,1003,10030,,,,1,
Obi-Wan Canoli,954,Willoughby Hoose,886,1B,,,0,,,3,,,,,,1003,10030,,,,1,
Grey Goose McGillicuddy,899,Willoughby Hoose,587,K,,,0,,,4,,,,,,1003,10030,,,,1,
Tsar Zaar,391,Willoughby Hoose,622,FO,,,1,,,4,,,,,,1003,10030,,,,1,
Garren Smudge,545,Willoughby Hoose,887,K,,,2,,,4,,,,,,1003,10030,,,,1,
Jasper Orbit,200,Grey Goose McGillicuddy,72,1B,,,0,,,0,,,,,,1003,10031,,,,1,
Lemmy Fraser,812,Grey Goose McGillicuddy,400,K,,,0,,,1,,,,,,1003,10031,,,,1,
Jacques Blaque,327,Grey Goose McGillicuddy,960,K,,,1,,,1,,,,,,1003,10031,,,,1,
Willoughby Hoose,665,Grey Goose McGillicuddy,13,K,,,2,,,1,,,,,,1003,10031,,,,1,
Assassin Panda,435,Willoughby Hoose,398,2B,,,0,,,0,,,,,,1003,10032,,,,1,
Will Power,770,Willoughby Hoose,12,FO,,,0,,,2,,,,,,1003,10032,,,,1,
Trey Rangers,242,Willoughby Hoose,18,FO,,,1,,,2,,,,,,1003,10032,,,,1,
Rico Veringhipster,808,Willoughby Hoose,358,LGO,,,2,,,2,,,,,,1003,10032,,,,1,
Jimbo Fishy,528,Grey Goose McGillicuddy,210,K,,,0,,,0,,,,,,1003,10033,,,,1,
Rupert Apple,721,Grey Goose McGillicuddy,770,2B,,,1,,,0,,,,,,1003,10033,,,,1,
Triston Uzumaki,696,Grey Goose McGillicuddy,120,LGO,,,1,,,2,,,,,,1003,10033,,,,1,
Jay Money,856,Grey Goose McGillicuddy,40,BB,,,2,,,0,,,,,,1003,10033,,,,1,
Jasper Orbit,715,Grey Goose McGillicuddy,190,LGO,,,2,,,1,,,,,,1003,10033,,,,1,
Buck Cheeks,31,Grey Goose McGillicuddy,3,HR,,,2,,,2,,,,,,1003,10033,,,,1,
Grey Goose McGillicuddy,623,Willoughby Hoose,216,K,,,0,,,0,,,,,,1003,10034,,,,1,
S.K. Brettbug,190,Willoughby Hoose,841,K,,,1,,,0,,,,,,1003,10034,,,,1,
Grey Goose McGillicuddy,404,Willoughby Hoose,457,2B,,,2,,,0,,,,,,1003,10034,,,,1,
Tsar Zaar,102,Willoughby Hoose,457,K,,,2,,,2,,,,,,1003,10034,,,,1,
Lemmy Fraser,952,Grey Goose McGillicuddy,770,FO,,,0,,,2,,,,,,1003,10035,,,,1,
Jacques Blaque,567,Grey Goose McGillicuddy,127,LGO,,,1,,,2,,,,,,1003,10035,,,,1,
Willoughby Hoose,1,Grey Goose McGillicuddy,960,2B,,,2,,,2,,,,,,1003,10035,,,,1,
Jimbo Fishy,421,Grey Goose McGillicuddy,4,LGO,,,2,,,2,,,,,,1003,10035,,,,1,
Garren Smudge,399,Willoughby Hoose,652,FO,,,0,,,2,,,,,,1003,10036,,,,1,
Assassin Panda,282,Willoughby Hoose,430,BB,,,1,,,2,,,,,,1003,10036,,,,1,
Will Power,197,Willoughby Hoose,648,DP,,,1,,,4,,,,,,1003,10036,,,,1,
falcs51,22,Sal Shark,1,2B,,,0,,,0,,,,,,1004,10037,,,,1,
Splash Nelson,487,Sal Shark,212,FO,,,0,,,2,,,,,,1004,10037,,,,1,
Gare Doctor,741,Sal Shark,67,K,,,1,,,2,,,,,,1004,10037,,,,1,
Lance Lummox,697,Sal Shark,879,FO,,,2,,,0,,,,,,1004,10037,,,,1,
Jameson Poe,608,Sal Shark,500,BB,,,2,,,2,,,,,,1004,10037,,,,1,
Johnny Hopkins,627,Sal Shark,608,HR,,,2,,,4,,,,,,1004,10037,,,,1,
Art Zyz,362,Darth Vader,720,K,,,0,,,0,,,,,,1004,10038,,,,1,
Bobson Dugnutt,101,Darth Vader,881,FO,,,1,,,0,,,,,,1004,10038,,,,1,
Boaty McBoatface,250,Darth Vader,133,1B,,,2,,,0,,,,,,1004,10038,,,,1,
Blue Moon Barthelemy,666,Darth Vader,680,HR,,,2,,,0,,,,,,1004,10038,,,,1,
Graham Othrie,369,Darth Vader,232,BB,,,2,,,0,,,,,,1004,10038,,,,1,
Caleb VanVacter,500,Darth Vader,487,HR,,,2,,,1,,,,,,1004,10038,,,,1,
Rick Gymnast,971,Darth Vader,220,FO,,,2,,,1,,,,,,1004,10038,,,,1,
Baxter Payne,79,Sal Shark,725,K,,,0,,,0,,,,,,1004,10039,,,,1,
Cook Froster,371,Sal Shark,250,1B,,,1,,,0,,,,,,1004,10039,,,,1,
Darth Vader,52,Sal Shark,7,2B,,,1,,,1,,,,,,1004,10039,,,,1,
falcs51,450,Sal Shark,50,LGO,,,1,,,6,,,,,,1004,10039,,,,1,
Splash Nelson,820,Sal Shark,616,FO,,,2,,,6,,,,,,1004,10039,,,,1,
Kid Notcher,42,Darth Vader,822,FO,,,0,,,0,,,,,,1004,10040,,,,1,
Sal Shark,790,Darth Vader,866,1B,,,1,,,0,,,,,,1004,10040,,,,1,
Art Zyz,347,Darth Vader,97,FO,,,1,,,1,,,,,,1004,10040,,,,1,
Bobson Dugnutt,500,Darth Vader,229,FO,,,2,,,1,,,,,,1004,10040,,,,1,
Gare Doctor,412,Sal Shark,250,BB,,,0,,,0,,,,,,1004,10041,,,,1,
Jameson Poe,816,Sal Shark,250,DP,,,0,,,1,,,,,,1004,10041,,,,1,
Johnny Hopkins,22,Sal Shark,125,1B,,,2,,,0,,,,,,1004,10041,,,,1,
Lance Lummox,750,Sal Shark,372,PO,,,2,,,1,,,,,,1004,10041,,,,1,
Boaty McBoatface,100,Darth Vader,342,FO,,,0,,,0,,,,,,1004,10042,,,,1,
Caleb VanVacter,975,Darth Vader,910,1B,,,1,,,0,,,,,,1004,10042,,,,1,
Blue Moon Barthelemy,22,Darth Vader,582,DP,,,1,,,1,,,,,,1004,10042,,,,1,
Baxter Payne,500,Sal Shark,765,FO,,,0,,,0,,,,,,1004,10043,,,,1,
Cook Froster,715,Sal Shark,100,LGO,,,1,,,0,,,,,,1004,10043,,,,1,
Darth Vader,375,Sal Shark,800,LGO,,,2,,,0,,,,,,1004,10043,,,,1,
Graham Othrie,782,Darth Vader,622,FO,,,0,,,0,,,,,,1004,10044,,,,1,
Rick Gymnast,179,Darth Vader,706,LGO,,,1,,,0,,,,,,1004,10044,,,,1,
Kid Notcher,414,Darth Vader,392,1B,,,2,,,0,,,,,,1004,10044,,,,1,
Sal Shark,550,Darth Vader,156,K,,,2,,,1,,,,,,1004,10044,,,,1,
falcs51,805,Sal Shark,680,1B,,,0,,,0,,,,,,1004,10045,,,,1,
Splash Nelson,400,Sal Shark,750,PO,,,0,,,1,,,,,,1004,10045,,,,1,
Gare Doctor,250,Sal Shark,415,BB,,,1,,,1,,,,,,1004,10045,,,,1,
Jameson Poe,77,Sal Shark,800,FO,,,1,,,4,,,,,,1004,10045,,,,1,
Johnny Hopkins,820,Sal Shark,950,1B,,,2,,,4,,,,,,1004,10045,,,,1,
Lance Lummox,225,Sal Shark,350,BB,,,2,,,5,,,,,,1004,10045,,,,1,
Baxter Payne,750,Sal Shark,315,LGO,,,2,,,7,,,,,,1004,10045,,,,1,
Art Zyz,475,Darth Vader,212,FO,,,0,,,0,,,,,,1004,10046,,,,1,
Bobson Dugnutt,777,Darth Vader,181,LGO,,,1,,,0,,,,,,1004,10046,,,,1,
Boaty McBoatface,750,Darth Vader,154,K,,,2,,,0,,,,,,1004,10046,,,,1,
Cook Froster,234,Sal Shark,575,PO,,,0,,,0,,,,,,1004,10047,,,,1,
Darth Vader,800,Sal Shark,150,K,,,1,,,0,,,,,,1004,10047,,,,1,
falcs51,99,Sal Shark,200,1B,,,2,,,0,,,,,,1004,10047,,,,1,
Splash Nelson,320,Sal Shark,90,FO,,,2,,,1,,,,,,1004,10047,,,,1,
Caleb VanVacter,772,Darth Vader,721,1B,,,0,,,0,,,,,,1004,10048,,,,1,
Blue Moon Barthelemy,420,Darth Vader,802,K,,,0,,,1,,,,,,1004,10048,,,,1,
Graham Othrie,969,Darth Vader,562,K,,,1,,,1,,,,,,1004,10048,,,,1,
Rick Gymnast,196,Darth Vader,792,LGO,,,2,,,1,,,,,,1004,10048,,,,1,
Gene Hennig,765,Hudson Quin,624,1B,,,0,,,0,,,,,,1005,10049,,,,1,
Mylo Grams,113,Hudson Quin,241,1B,,,0,,,1,,,,,,1005,10049,,,,1,
Bo Kinsella,411,Hudson Quin,570,BB,,,0,,,4,,,,,,1005,10049,,,,1,
Jason Girth,420,Hudson Quin,19,K,,,0,,,7,,,,,,1005,10049,,,,1,
James Earl Pwns,779,Hudson Quin,114,K,,,1,,,2,,,,,,1005,10049,,,,1,
Herrera O'Doubles,349,Hudson Quin,387,2B,,,1,,,6,,,,,,1005,10049,,,,1,
Osmosis Jones,630,Hudson Quin,807,BB,,,1,,,7,,,,,,1005,10049,,,,1,
Larry Wayne,10,Hudson Quin,967,2B,,,1,,,7,,,,,,1005,10049,,,,1,
Jay Bedia,876,Hudson Quin,704,FO,,,2,,,2,,,,,,1005,10049,,,,1,
Chocolate Smegma,3,Jay Bedia,333,K,,,0,,,0,,,,,,1005,10050,,,,1,
Trey Paste,587,Jay Bedia,122,LGO,,,1,,,0,,,,,,1005,10050,,,,1,
Mongster Mash,200,Jay Bedia,745,LGO,,,2,,,0,,,,,,1005,10050,,,,1,
Gene Hennig,292,Hudson Quin,356,1B,,,0,,,0,,,,,,1005,10051,,,,1,
Mylo Grams,623,Hudson Quin,91,DP,,,0,,,1,,,,,,1005,10051,,,,1,
Bo Kinsella,269,Hudson Quin,550,FO,,,2,,,0,,,,,,1005,10051,,,,1,
Master Cashier,671,Jay Bedia,98,PO,,,0,,,0,,,,,,1005,10052,,,,1,
Red Trapper,380,Jay Bedia,103,K,,,1,,,0,,,,,,1005,10052,,,,1,
Xavier Crowbar,160,Jay Bedia,699,LGO,,,2,,,0,,,,,,1005,10052,,,,1,
Jason Girth,384,Hudson Quin,788,K,,,0,,,0,,,,,,1005,10053,,,,1,
Osmosis Jones,312,Hudson Quin,116,FO,,,1,,,0,,,,,,1005,10053,,,,1,
Larry Wayne,985,Hudson Quin,447,LGO,,,2,,,0,,,,,,1005,10053,,,,1,
Pip Squires,218,Jay Bedia,600,PO,,,0,,,0,,,,,,1005,10054,,,,1,
John C. Johnson,866,Jay Bedia,500,K,,,1,,,0,,,,,,1005,10054,,,,1,
Hudson Quin,4,Jay Bedia,900,1B,,,2,,,0,,,,,,1005,10054,,,,1,
Chocolate Smegma,206,Jay Bedia,865,K,,,2,,,1,,,,,,1005,10054,,,,1,
Herrera O'Doubles,728,Hudson Quin,412,K,,,0,,,0,,,,,,1005,10055,,,,1,
James Earl Pwns,119,Hudson Quin,849,FO,,,1,,,0,,,,,,1005,10055,,,,1,
Jay Bedia,200,Hudson Quin,615,K,,,2,,,0,,,,,,1005,10055,,,,1,
Trey Paste,222,Jay Bedia,767,LGO,,,0,,,0,,,,,,1005,10056,,,,1,
Mongster Mash,624,Jay Bedia,900,FO,,,1,,,0,,,,,,1005,10056,,,,1,
Master Cashier,117,Jay Bedia,750,K,,,2,,,0,,,,,,1005,10056,,,,1,
Gene Hennig,603,Hudson Quin,334,FO,,,0,,,0,,,,,,1005,10057,,,,1,
Mylo Grams,515,Hudson Quin,373,1B,,,1,,,0,,,,,,1005,10057,,,,1,
Bo Kinsella,669,Hudson Quin,693,3B,,,1,,,1,,,,,,1005,10057,,,,1,
Jason Girth,287,Hudson Quin,3,K,,,1,,,3,,,,,,1005,10057,,,,1,
Osmosis Jones,416,Hudson Quin,177,FO,,,2,,,3,,,,,,1005,10057,,,,1,
Red Trapper,50,Jay Bedia,350,K,,,0,,,0,,,,,,1005,10058,,,,1,
Xavier Crowbar,266,Jay Bedia,346,1B,,,1,,,0,,,,,,1005,10058,,,,1,
Pip Squires,743,Jay Bedia,901,1B,,,1,,,1,,,,,,1005,10058,,,,1,
John C. Johnson,42,Jay Bedia,755,FO,,,1,,,4,,,,,,1005,10058,,,,1,
Hudson Quin,582,Jay Bedia,78,LGO,,,2,,,4,,,,,,1005,10058,,,,1,
Larry Wayne,333,Hudson Quin,672,K,,,0,,,0,,,,,,1005,10059,,,,1,
Herrera O'Doubles,212,Hudson Quin,991,FO,,,1,,,0,,,,,,1005,10059,,,,1,
James Earl Pwns,10,Hudson Quin,366,K,,,2,,,0,,,,,,1005,10059,,,,1,
Chocolate Smegma,500,Jay Bedia,690,FO,,,0,,,0,,,,,,1005,10060,,,,1,
Trey Paste,750,Jay Bedia,567,BB,,,1,,,0,,,,,,1005,10060,,,,1,
Mongster Mash,125,Jay Bedia,12,1B,,,1,,,1,,,,,,1005,10060,,,,1,
Master Cashier,430,Jay Bedia,99,K,,,1,,,4,,,,,,1005,10060,,,,1,
Red Trapper,550,Jay Bedia,364,FO,,,2,,,4,,,,,,1005,10060,,,,1,
Whit Merto,108,Big Tuna,372,FO,,,0,,,0,,,,,,1006,10061,,,,1,
Clipper Charge,482,Big Tuna,751,FO,,,1,,,0,,,,,,1006,10061,,,,1,
Bernie Petrol,794,Big Tuna,322,LGO,,,2,,,0,,,,,,1006,10061,,,,1,
BB Bambino Jr.,431,Rob Pancakes,69,K,,,0,,,0,,,,,,1006,10062,,,,1,
Casey Nine,652,Rob Pancakes,630,2B,,,1,,,0,,,,,,1006,10062,,,,1,
Big Tuna,330,Rob Pancakes,722,K,,,1,,,2,,,,,,1006,10062,,,,1,
Valentino Rollin,120,Rob Pancakes,356,FO,,,2,,,2,,,,,,1006,10062,,,,1,
Sam Smith,857,Big Tuna,902,2B,,,0,,,0,,,,,,1006,10063,,,,1,
Johnny Dickshot,232,Big Tuna,545,K,,,0,,,2,,,,,,1006,10063,,,,1,
Randy Nummer,702,Big Tuna,824,1B,,,1,,,2,,,,,,1006,10063,,,,1,
Indy Sayne,439,Big Tuna,131,K,,,1,,,5,,,,,,1006,10063,,,,1,
Clark Web,268,Big Tuna,788,LGO,,,2,,,5,,,,,,1006,10063,,,,1,
Sevag Vapor,433,Rob Pancakes,972,LGO,,,0,,,0,,,,,,1006,10064,,,,1,
Otis Nixon Sr.,210,Rob Pancakes,45,FO,,,1,,,0,,,,,,1006,10064,,,,1,
Merodach Baladan,840,Rob Pancakes,510,K,,,2,,,0,,,,,,1006,10064,,,,1,
Rob Pancakes,420,Big Tuna,200,FO,,,0,,,0,,,,,,1006,10065,,,,1,
Whit Merto,769,Big Tuna,974,FO,,,1,,,0,,,,,,1006,10065,,,,1,
Clipper Charge,420,Big Tuna,345,1B,,,2,,,0,,,,,,1006,10065,,,,1,
Bernie Petrol,854,Big Tuna,222,K,,,2,,,1,,,,,,1006,10065,,,,1,
Brandon Aconi,879,Rob Pancakes,153,FO,,,0,,,0,,,,,,1006,10066,,,,1,
Morris Deratt,420,Rob Pancakes,295,BB,,,1,,,0,,,,,,1006,10066,,,,1,
BB Bambino Jr.,671,Rob Pancakes,518,1B,,,1,,,1,,,,,,1006,10066,,,,1,
Casey Nine,918,Rob Pancakes,7,1B,,,1,,,4,,,,,,1006,10066,,,,1,
